Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,12,7055,Unreliable,87.888,297.117,0.000%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,12,6266,Unreliable,98.955,334.529,0.000%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,13,8231,Unreliable,84.096,270.081,0.001%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,48,7221,664.728,490.117,881.329,0.002%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,56,5246,1067.48,806.364,1386.208,0.002%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,83,3434,2417.006,1925.121,2996.242,0.003%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,116,1765,6572.238,5376.213,7768.263,0.005%
,2006,2006,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,85+ years,85+,98,471,20806.794,16891.996,25356.824,0.004%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,< 1 year,1,11,2250,Unreliable,244.053,874.759,0.000%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,21,19833,105.884,65.544,161.856,0.001%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,29,19029,152.399,102.065,218.871,0.001%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,40,23147,172.809,123.456,235.317,0.002%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,116,24837,467.045,382.052,552.039,0.005%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,181,22055,820.676,701.115,940.236,0.007%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,307,15316,2004.44,1780.217,2228.663,0.013%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,451,8837,5103.542,4632.522,5574.562,0.019%
,2006,2006,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,85+ years,85+,449,2696,16654.303,15113.811,18194.794,0.019%
,2006,2006,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,11,4049,Unreliable,135.619,486.097,0.000%
,2006,2006,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,17,3985,Unreliable,248.511,683.029,0.001%
,2006,2006,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,33,3313,996.076,685.649,1398.859,0.001%
,2006,2006,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,48,1978,2426.694,1789.25,3217.432,0.002%
,2006,2006,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,82,1271,6451.613,5131.161,8008.129,0.003%
,2006,2006,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,85+ years,85+,80,434,18433.18,14616.406,22941.751,0.003%
,2006,2006,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,24,3160,759.494,486.623,1130.066,0.001%
,2006,2006,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,33,2515,1312.127,903.203,1842.712,0.001%
,2006,2006,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,45,1527,2946.955,2149.538,3943.261,0.002%
,2006,2006,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,58,909,6380.638,4845.074,8248.442,0.002%
,2006,2006,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,85+ years,85+,37,256,14453.125,10176.301,19921.754,0.002%
,2006,2006,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,12,8215,Unreliable,75.478,255.163,0.000%
,2006,2006,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,42,7723,543.83,391.944,735.101,0.002%
,2006,2006,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,65,6661,975.829,753.126,1243.773,0.003%
,2006,2006,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,97,4470,2170.022,1759.736,2647.254,0.004%
,2006,2006,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,162,2383,6798.154,5751.291,7845.016,0.007%
,2006,2006,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,85+ years,85+,128,773,16558.862,13690.185,19427.538,0.005%
,2006,2006,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,19,1602,Unreliable,714.066,1852.109,0.001%
,2006,2006,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,16,1173,Unreliable,779.662,2215.093,0.001%
,2006,2006,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,22,762,2887.139,1809.341,4371.157,0.001%
,2006,2006,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,32,432,7407.407,5066.667,10457.037,0.001%
,2006,2006,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,85+ years,85+,37,254,14566.929,10256.429,20078.618,0.002%
,2006,2006,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,25,3127,799.488,517.389,1180.205,0.001%
,2006,2006,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,25,2464,1014.61,656.605,1497.768,0.001%
,2006,2006,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,54,1694,3187.721,2394.712,4159.275,0.002%
,2006,2006,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,73,1201,6078.268,4764.39,7642.51,0.003%
,2006,2006,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,85+ years,85+,71,506,14031.621,10958.836,17698.925,0.003%
,2006,2006,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,< 1 year,1,10,1437,Unreliable,333.709,1279.777,0.000%
,2006,2006,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,23,16886,136.208,86.343,204.378,0.001%
,2006,2006,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,25,14780,169.147,109.464,249.696,0.001%
,2006,2006,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,53,15250,347.541,260.333,454.591,0.002%
,2006,2006,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,126,16943,743.67,613.817,873.523,0.005%
,2006,2006,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,189,13529,1396.999,1197.83,1596.168,0.008%
