Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Gender,Gender Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,% of Total Deaths
,1999,1999,"Acadia Parish, LA",22001,All other non-drug and non-alcohol causes,O9,Female,F,281,30384,924.829,816.694,1032.963,832.99,0.006%
,1999,1999,"Acadia Parish, LA",22001,All other non-drug and non-alcohol causes,O9,Male,M,281,28378,990.204,874.425,1105.982,1285.033,0.006%
,1999,1999,"Allen Parish, LA",22003,All other non-drug and non-alcohol causes,O9,Female,F,104,11218,927.081,748.902,1105.261,772.932,0.002%
,1999,1999,"Allen Parish, LA",22003,All other non-drug and non-alcohol causes,O9,Male,M,115,14146,812.951,664.367,961.534,1264.092,0.002%
,1999,1999,"Ascension Parish, LA",22005,All other non-drug and non-alcohol causes,O9,Female,F,236,37900,622.691,543.245,702.137,822.983,0.005%
,1999,1999,"Ascension Parish, LA",22005,All other non-drug and non-alcohol causes,O9,Male,M,258,36762,701.812,616.174,787.45,1298.935,0.005%
,1999,1999,"Assumption Parish, LA",22007,All other non-drug and non-alcohol causes,O9,Female,F,106,12045,880.033,712.5,1047.567,897.313,0.002%
,1999,1999,"Assumption Parish, LA",22007,All other non-drug and non-alcohol causes,O9,Male,M,105,11327,926.989,749.678,1104.3,1187.607,0.002%
,1999,1999,"Avoyelles Parish, LA",22009,All other non-drug and non-alcohol causes,O9,Female,F,260,21067,1234.158,1084.141,1384.175,954.272,0.005%
,1999,1999,"Avoyelles Parish, LA",22009,All other non-drug and non-alcohol causes,O9,Male,M,253,20306,1245.937,1092.408,1399.467,1465.864,0.005%
,1999,1999,"Beauregard Parish, LA",22011,All other non-drug and non-alcohol causes,O9,Female,F,144,16298,883.544,739.232,1027.856,830.533,0.003%
,1999,1999,"Beauregard Parish, LA",22011,All other non-drug and non-alcohol causes,O9,Male,M,168,16351,1027.46,872.09,1182.83,1354.894,0.003%
,1999,1999,"Bienville Parish, LA",22013,All other non-drug and non-alcohol causes,O9,Female,F,100,8258,1210.947,973.601,1448.293,739.03,0.002%
,1999,1999,"Bienville Parish, LA",22013,All other non-drug and non-alcohol causes,O9,Male,M,115,7555,1522.171,1243.962,1800.379,1350.586,0.002%
,1999,1999,"Bossier Parish, LA",22015,All other non-drug and non-alcohol causes,O9,Female,F,384,49714,772.418,695.16,849.676,812.607,0.008%
,1999,1999,"Bossier Parish, LA",22015,All other non-drug and non-alcohol causes,O9,Male,M,394,47570,828.253,746.469,910.038,1237.702,0.008%
,1999,1999,"Caddo Parish, LA",22017,All other alcohol-induced causes,A9,Male,M,22,118932,18.498,11.592,28.006,19.57,0.000%
,1999,1999,"Caddo Parish, LA",22017,All other non-drug and non-alcohol causes,O9,Female,F,1332,132944,1001.926,948.119,1055.733,794.118,0.026%
,1999,1999,"Caddo Parish, LA",22017,All other non-drug and non-alcohol causes,O9,Male,M,1186,118932,997.208,940.454,1053.963,1164.456,0.023%
,1999,1999,"Calcasieu Parish, LA",22019,All other alcohol-induced causes,A9,Male,M,10,89223,Unreliable,5.375,20.612,Unreliable,0.000%
,1999,1999,"Calcasieu Parish, LA",22019,All other non-drug and non-alcohol causes,O9,Female,F,816,94194,866.297,806.857,925.737,841.664,0.016%
,1999,1999,"Calcasieu Parish, LA",22019,All other non-drug and non-alcohol causes,O9,Male,M,862,89223,966.119,901.623,1030.615,1304.4,0.017%
,1999,1999,"Caldwell Parish, LA",22021,All other non-drug and non-alcohol causes,O9,Female,F,42,5201,807.537,582,1091.556,612.689,0.001%
,1999,1999,"Caldwell Parish, LA",22021,All other non-drug and non-alcohol causes,O9,Male,M,72,5339,1348.567,1055.173,1698.291,1629.683,0.001%
,1999,1999,"Cameron Parish, LA",22023,All other non-drug and non-alcohol causes,O9,Female,F,38,4980,763.052,539.982,1047.35,885.714,0.001%
,1999,1999,"Cameron Parish, LA",22023,All other non-drug and non-alcohol causes,O9,Male,M,47,5011,937.937,689.158,1247.259,1226.233,0.001%
,1999,1999,"Catahoula Parish, LA",22025,All other non-drug and non-alcohol causes,O9,Female,F,59,5472,1078.216,820.792,1390.824,866.717,0.001%
,1999,1999,"Catahoula Parish, LA",22025,All other non-drug and non-alcohol causes,O9,Male,M,61,5484,1112.327,850.841,1428.828,1269.806,0.001%
,1999,1999,"Claiborne Parish, LA",22027,All other non-drug and non-alcohol causes,O9,Female,F,88,8465,1039.575,833.77,1280.787,630.986,0.002%
