Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Race,Race Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Maricopa County, AZ",4013,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,54,2733686,1.975,1.484,2.577,2.042,1.534,2.664,0.065%
,1999,1999,"Pima County, AZ",4019,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,21,747814,2.808,1.738,4.293,2.741,1.697,4.19,0.025%
,1999,1999,"Alameda County, CA",6001,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,11,864272,Unreliable,0.635,2.277,Unreliable,0.616,2.207,0.013%
,1999,1999,"Contra Costa County, CA",6013,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,12,715898,Unreliable,0.866,2.928,Unreliable,0.824,2.787,0.014%
,1999,1999,"Los Angeles County, CA",6037,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,70,7084585,0.988,0.77,1.248,1.097,0.853,1.388,0.085%
,1999,1999,"Orange County, CA",6059,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,33,2322172,1.421,0.978,1.996,1.461,1.006,2.052,0.040%
,1999,1999,"Riverside County, CA",6065,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,22,1310823,1.678,1.052,2.541,1.835,1.15,2.779,0.027%
,1999,1999,"Sacramento County, CA",6067,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,17,898326,Unreliable,1.102,3.03,Unreliable,1.089,2.992,0.021%
,1999,1999,"San Bernardino County, CA",6071,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,17,1390574,Unreliable,0.712,1.957,Unreliable,0.785,2.158,0.021%
,1999,1999,"San Diego County, CA",6073,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,49,2286329,2.143,1.586,2.833,2.218,1.641,2.933,0.059%
,1999,1999,"San Francisco County, CA",6075,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,15,450445,Unreliable,1.864,5.492,Unreliable,1.818,5.358,0.018%
,1999,1999,"San Mateo County, CA",6081,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,12,510850,Unreliable,1.214,4.103,Unreliable,1.166,3.94,0.014%
,1999,1999,"Denver County, CO",8031,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,11,453801,Unreliable,1.21,4.337,Unreliable,1.234,4.422,0.013%
,1999,1999,"El Paso County, CO",8041,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,11,447623,Unreliable,1.227,4.397,Unreliable,1.255,4.499,0.013%
,1999,1999,"Jefferson County, CO",8059,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,15,499380,Unreliable,1.681,4.954,Unreliable,1.629,4.8,0.018%
,1999,1999,"Fairfield County, CT",9001,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,11,747786,Unreliable,0.734,2.632,Unreliable,0.7,2.51,0.013%
,1999,1999,"New Haven County, CT",9009,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,13,696347,Unreliable,0.994,3.192,Unreliable,0.925,2.971,0.016%
,1999,1999,"Brevard County, FL",12009,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,12,420295,Unreliable,1.475,4.987,Unreliable,1.313,4.706,0.014%
,1999,1999,"Broward County, FL",12011,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,25,1201482,2.081,1.347,3.072,1.975,1.265,2.938,0.030%
,1999,1999,"Escambia County, FL",12033,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,11,219177,Unreliable,2.505,8.98,Unreliable,2.423,8.683,0.013%
,1999,1999,"Hillsborough County, FL",12057,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,15,801974,Unreliable,1.047,3.085,Unreliable,1.043,3.073,0.018%
,1999,1999,"Lee County, FL",12071,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,10,395991,Unreliable,1.211,4.644,Unreliable,0.931,3.863,0.012%
,1999,1999,"Miami-Dade County, FL",12086,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,37,1694152,2.184,1.538,3.01,2.097,1.476,2.89,0.045%
,1999,1999,"Orange County, FL",12095,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,12,668755,Unreliable,0.927,3.134,Unreliable,0.884,2.988,0.014%
,1999,1999,"Palm Beach County, FL",12099,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,18,929281,Unreliable,1.148,3.061,Unreliable,1.082,2.974,0.022%
,1999,1999,"Pinellas County, FL",12103,Drug poisonings (overdose) Suicide (X60-X64),D2,White,2106-3,24,809227,2.966,1.9,4.413,2.733,1.713,4.138,0.029%
