Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Race,Race Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
,2008,2008,"Baldwin County, AL",1003,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,19,155913,Unreliable,7.337,19.03,Unreliable,7.564,20.171,0.006%
,2008,2008,"Blount County, AL",1009,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,14,55581,Unreliable,13.771,42.262,Unreliable,13.415,41.17,0.004%
,2008,2008,"Calhoun County, AL",1015,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,17,91042,Unreliable,10.878,29.897,Unreliable,11.759,32.319,0.005%
,2008,2008,"Cullman County, AL",1043,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,10,78407,Unreliable,6.116,23.455,Unreliable,6.204,23.791,0.003%
,2008,2008,"Etowah County, AL",1055,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,16,86663,Unreliable,10.553,29.982,Unreliable,11.709,33.266,0.005%
,2008,2008,"Houston County, AL",1069,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,12,71648,Unreliable,8.654,29.256,Unreliable,9.359,31.64,0.004%
,2008,2008,"Jefferson County, AL",1073,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,55,367490,14.966,11.275,19.481,14.812,11.095,19.374,0.017%
,2008,2008,"Lauderdale County, AL",1077,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,16,81653,Unreliable,11.2,31.821,Unreliable,9.842,27.963,0.005%
,2008,2008,"Madison County, AL",1089,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,20,231707,8.632,5.272,13.331,8.912,5.444,13.764,0.006%
,2008,2008,"Mobile County, AL",1097,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,10,143285,Unreliable,3.347,12.835,Unreliable,3.362,12.895,0.003%
,2008,2008,"Mobile County, AL",1097,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,39,254004,15.354,10.918,20.99,15.975,11.305,21.927,0.012%
,2008,2008,"Morgan County, AL",1103,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,17,101009,Unreliable,9.804,26.947,Unreliable,9.15,25.995,0.005%
,2008,2008,"Shelby County, AL",1117,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,34,164269,20.698,14.334,28.923,19.618,13.586,27.414,0.010%
,2008,2008,"Tuscaloosa County, AL",1125,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,29,128717,22.53,15.089,32.357,25.526,16.962,36.892,0.009%
,2008,2008,"Walker County, AL",1127,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,32,63075,50.733,34.702,71.62,54.172,36.807,76.893,0.010%
,2008,2008,"Anchorage Borough, AK",2020,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,35,204418,17.122,11.926,23.812,15.636,10.828,21.85,0.011%
,2008,2008,"Matanuska-Susitna Borough, AK",2170,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,14,75228,Unreliable,10.174,31.225,Unreliable,10.477,32.154,0.004%
,2008,2008,"Cochise County, AZ",4003,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,12,116409,Unreliable,5.326,18.007,Unreliable,6.275,21.214,0.004%
,2008,2008,"Maricopa County, AZ",4013,Drug poisonings (overdose) Unintentional (X40-X44),D1,American Indian or Alaska Native,1002-5,11,104826,Unreliable,5.238,18.776,Unreliable,5.411,20.752,0.003%
,2008,2008,"Maricopa County, AZ",4013,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,29,213221,13.601,9.109,19.533,14.858,9.95,21.338,0.009%
,2008,2008,"Maricopa County, AZ",4013,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,363,3300491,10.998,9.867,12.13,11.141,9.989,12.293,0.111%
,2008,2008,"Mohave County, AZ",4015,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,25,188557,13.259,8.58,19.572,13.881,8.699,21.016,0.008%
,2008,2008,"Pima County, AZ",4019,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,83,852233,9.739,7.757,12.073,10.203,8.09,12.699,0.025%
,2008,2008,"Pinal County, AZ",4021,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,22,284503,7.733,4.846,11.708,8.422,5.214,12.874,0.007%
,2008,2008,"Yavapai County, AZ",4025,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,19,202198,Unreliable,5.657,14.674,Unreliable,7.264,19.37,0.006%
,2008,2008,"Benton County, AR",5007,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,12,196679,Unreliable,3.153,10.658,Unreliable,3.279,11.087,0.004%
,2008,2008,"Craighead County, AR",5031,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,14,79947,Unreliable,9.574,29.381,Unreliable,10.655,32.699,0.004%
,2008,2008,"Crawford County, AR",5033,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,10,57380,Unreliable,8.357,32.05,Unreliable,9.096,34.882,0.003%
,2008,2008,"Pulaski County, AR",5119,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,15,233330,Unreliable,3.598,10.603,Unreliable,3.693,10.882,0.005%
,2008,2008,"Saline County, AR",5125,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,10,96393,Unreliable,4.975,19.079,Unreliable,5.513,21.143,0.003%
,2008,2008,"Sebastian County, AR",5131,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,16,106446,Unreliable,8.592,24.41,Unreliable,8.314,23.62,0.005%
,2008,2008,"Alameda County, CA",6001,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,41,211294,19.404,13.925,26.324,19.524,13.948,26.586,0.013%
,2008,2008,"Alameda County, CA",6001,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,83,827644,10.028,7.988,12.432,9.436,7.505,11.712,0.025%
,2008,2008,"Butte County, CA",6007,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,57,197745,28.825,21.832,37.346,28.82,21.588,37.698,0.017%
,2008,2008,"Contra Costa County, CA",6013,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,14,108243,Unreliable,7.071,21.701,Unreliable,7.137,22.92,0.004%
,2008,2008,"Contra Costa County, CA",6013,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,70,738361,9.48,7.39,11.978,8.843,6.867,11.21,0.021%
,2008,2008,"El Dorado County, CA",6017,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,26,166645,15.602,10.192,22.861,14.623,9.27,21.942,0.008%
,2008,2008,"Fresno County, CA",6019,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,71,726367,9.775,7.634,12.329,10.588,8.254,13.377,0.022%
,2008,2008,"Humboldt County, CA",6023,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,36,117060,30.753,21.539,42.576,31.536,21.707,44.288,0.011%
,2008,2008,"Imperial County, CA",6025,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,10,152180,Unreliable,3.151,12.085,Unreliable,3.32,12.733,0.003%
,2008,2008,"Kern County, CA",6029,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,101,697557,14.479,11.655,17.303,15.269,12.272,18.265,0.031%
,2008,2008,"Kings County, CA",6031,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,11,127212,Unreliable,4.317,15.472,Unreliable,4.247,16.286,0.003%
,2008,2008,"Lake County, CA",6033,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,13,58545,Unreliable,11.823,37.971,Unreliable,9.115,30.814,0.004%
,2008,2008,"Los Angeles County, CA",6037,Drug poisonings (overdose) Unintentional (X40-X44),D1,Asian or Pacific Islander,A-PI,12,1456974,Unreliable,0.426,1.439,Unreliable,0.39,1.318,0.004%
,2008,2008,"Los Angeles County, CA",6037,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,85,968638,8.775,7.009,10.851,8.421,6.717,10.426,0.026%
,2008,2008,"Los Angeles County, CA",6037,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,472,7154598,6.597,6.002,7.192,6.598,6.001,7.196,0.145%
,2008,2008,"Madera County, CA",6039,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,10,130900,Unreliable,3.663,14.049,Unreliable,3.88,14.882,0.003%
,2008,2008,"Merced County, CA",6047,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,18,211262,Unreliable,5.05,13.466,Unreliable,5.493,14.647,0.006%
,2008,2008,"Monterey County, CA",6053,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,31,344355,9.002,6.117,12.778,9.102,6.184,12.92,0.009%
,2008,2008,"Napa County, CA",6055,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,11,118605,Unreliable,4.63,16.595,Unreliable,4.326,15.506,0.003%
,2008,2008,"Nevada County, CA",6057,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,11,94594,Unreliable,5.805,20.807,Unreliable,4.646,19.288,0.003%
,2008,2008,"Orange County, CA",6059,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,223,2302172,9.687,8.415,10.958,9.477,8.228,10.726,0.068%
,2008,2008,"Placer County, CA",6061,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,28,304233,9.203,6.116,13.302,9.344,6.158,13.595,0.009%
,2008,2008,"Riverside County, CA",6065,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,10,158360,Unreliable,3.028,11.613,Unreliable,3.215,12.331,0.003%
,2008,2008,"Riverside County, CA",6065,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,164,1761754,9.309,7.884,10.734,9.623,8.145,11.101,0.050%
,2008,2008,"Sacramento County, CA",6067,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,23,170959,13.454,8.528,20.187,14.922,9.351,22.592,0.007%
,2008,2008,"Sacramento County, CA",6067,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,172,965461,17.815,15.153,20.478,17.075,14.5,19.651,0.053%
,2008,2008,"San Bernardino County, CA",6071,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,51,1604687,3.178,2.366,4.179,3.245,2.409,4.278,0.016%
,2008,2008,"San Diego County, CA",6073,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,17,188401,Unreliable,5.256,14.447,Unreliable,5.796,15.931,0.005%
,2008,2008,"San Diego County, CA",6073,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,249,2412277,10.322,9.04,11.604,9.982,8.734,11.231,0.076%
,2008,2008,"San Francisco County, CA",6075,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,50,56527,88.453,65.652,116.615,72.356,53.529,95.658,0.015%
,2008,2008,"San Francisco County, CA",6075,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,90,446364,20.163,16.213,24.784,17.768,14.232,21.917,0.028%
,2008,2008,"San Joaquin County, CA",6077,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,10,61143,Unreliable,7.843,30.078,Unreliable,9.173,38.08,0.003%
,2008,2008,"San Joaquin County, CA",6077,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,80,482124,16.593,13.157,20.652,16.788,13.291,20.923,0.025%
,2008,2008,"San Luis Obispo County, CA",6079,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,21,244730,8.581,5.312,13.117,9.01,5.504,13.916,0.006%
,2008,2008,"San Mateo County, CA",6081,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,39,475584,8.2,5.831,11.21,7.411,5.245,10.173,0.012%
,2008,2008,"Santa Barbara County, CA",6083,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,35,369357,9.476,6.6,13.179,9.578,6.633,13.385,0.011%
,2008,2008,"Santa Clara County, CA",6085,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,78,1073937,7.263,5.741,9.065,6.824,5.385,8.529,0.024%
,2008,2008,"Santa Cruz County, CA",6087,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,24,233124,10.295,6.596,15.318,9.192,5.827,13.792,0.007%
,2008,2008,"Shasta County, CA",6089,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,47,163045,28.826,21.18,38.333,29.439,21.305,39.655,0.014%
,2008,2008,"Solano County, CA",6095,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,24,259833,9.237,5.918,13.743,9.158,5.806,13.742,0.007%
,2008,2008,"Sonoma County, CA",6097,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,51,428405,11.905,8.864,15.652,10.726,7.909,14.222,0.016%
,2008,2008,"Stanislaus County, CA",6099,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,46,444176,10.356,7.582,13.814,10.769,7.855,14.41,0.014%
,2008,2008,"Tulare County, CA",6107,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,16,388176,Unreliable,2.356,6.694,Unreliable,2.607,7.407,0.005%
,2008,2008,"Ventura County, CA",6111,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,64,706372,9.06,6.978,11.57,8.9,6.839,11.387,0.020%
,2008,2008,"Adams County, CO",8001,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,47,380447,12.354,9.077,16.428,12.617,9.203,16.883,0.014%
,2008,2008,"Arapahoe County, CO",8005,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,69,451928,15.268,11.879,19.322,14.476,11.241,18.352,0.021%
,2008,2008,"Boulder County, CO",8013,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,33,271256,12.166,8.374,17.085,11.463,7.841,16.183,0.010%
,2008,2008,"Denver County, CO",8031,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,23,67486,34.081,21.604,51.138,35.37,22.421,53.072,0.007%
,2008,2008,"Denver County, CO",8031,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,102,472304,21.596,17.405,25.787,21.05,16.893,25.207,0.031%
,2008,2008,"El Paso County, CO",8041,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,55,520597,10.565,7.959,13.752,9.838,7.391,12.837,0.017%
,2008,2008,"Jefferson County, CO",8059,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,49,497942,9.841,7.28,13.01,9.737,7.154,12.948,0.015%
,2008,2008,"Larimer County, CO",8069,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,31,278335,11.138,7.567,15.809,10.445,7.047,14.911,0.009%
,2008,2008,"Pueblo County, CO",8101,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,13,145972,Unreliable,4.742,15.229,Unreliable,4.733,15.199,0.004%
,2008,2008,"Weld County, CO",8123,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,15,232132,Unreliable,3.617,10.658,Unreliable,3.823,11.265,0.005%
,2008,2008,"Fairfield County, CT",9001,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,63,748306,8.419,6.469,10.772,8.799,6.73,11.302,0.019%
,2008,2008,"Hartford County, CT",9003,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,69,712832,9.68,7.531,12.25,9.894,7.652,12.588,0.021%
,2008,2008,"Litchfield County, CT",9005,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,24,182878,13.124,8.408,19.527,14.123,8.851,21.383,0.007%
,2008,2008,"Middlesex County, CT",9007,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,18,151343,Unreliable,7.049,18.797,Unreliable,7.194,19.771,0.006%
,2008,2008,"New Haven County, CT",9009,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,10,121113,Unreliable,3.959,15.184,Unreliable,4.177,16.017,0.003%
,2008,2008,"New Haven County, CT",9009,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,96,699565,13.723,11.115,16.758,13.738,11.089,16.83,0.029%
,2008,2008,"New London County, CT",9011,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,19,237293,Unreliable,4.821,12.504,Unreliable,4.683,12.488,0.006%
,2008,2008,"Windham County, CT",9015,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,16,111679,Unreliable,8.189,23.266,Unreliable,8.082,22.963,0.005%
,2008,2008,"Kent County, DE",10001,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,10,113240,Unreliable,4.235,16.24,Unreliable,4.477,17.169,0.003%
,2008,2008,"New Castle County, DE",10003,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,60,376581,15.933,12.158,20.509,15.749,11.989,20.315,0.018%
,2008,2008,"Sussex County, DE",10005,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,17,160490,Unreliable,6.171,16.96,Unreliable,7.725,21.231,0.005%
,2008,2008,"District of Columbia, DC",11001,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,31,318392,9.736,6.615,13.82,8.813,5.946,12.581,0.009%
,2008,2008,"Bay County, FL",12005,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,23,141710,16.23,10.289,24.353,16.442,10.422,24.67,0.007%
,2008,2008,"Brevard County, FL",12009,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,104,468146,22.215,17.946,26.485,24.035,19.229,28.841,0.032%
,2008,2008,"Broward County, FL",12011,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,16,469921,Unreliable,1.946,5.529,Unreliable,1.973,5.607,0.005%
,2008,2008,"Broward County, FL",12011,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,223,1182514,18.858,16.383,21.333,18.209,15.779,20.639,0.068%
,2008,2008,"Citrus County, FL",12017,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,24,135063,17.769,11.385,26.44,26.657,16.706,40.359,0.007%
,2008,2008,"Clay County, FL",12019,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,19,160394,Unreliable,7.132,18.499,Unreliable,7.173,19.129,0.006%
,2008,2008,"Collier County, FL",12021,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,50,288705,17.319,12.854,22.833,20.712,15.272,27.461,0.015%
,2008,2008,"Duval County, FL",12031,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,10,261106,Unreliable,1.837,7.043,Unreliable,1.963,7.53,0.003%
,2008,2008,"Duval County, FL",12031,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,79,551897,14.314,11.333,17.84,13.587,10.722,16.981,0.024%
,2008,2008,"Escambia County, FL",12033,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,23,214073,10.744,6.811,16.121,10.509,6.586,15.911,0.007%
,2008,2008,"Hernando County, FL",12053,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,43,159830,26.904,19.47,36.239,34.255,24.582,46.47,0.013%
,2008,2008,"Hillsborough County, FL",12057,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,21,209139,10.041,6.216,15.349,10.506,6.417,16.225,0.006%
,2008,2008,"Hillsborough County, FL",12057,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,194,935092,20.747,17.827,23.666,19.97,17.148,22.793,0.059%
,2008,2008,"Indian River County, FL",12061,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,29,121189,23.93,16.026,34.367,26.825,17.36,39.599,0.009%
,2008,2008,"Lake County, FL",12069,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,24,255204,9.404,6.025,13.993,11.914,7.552,17.877,0.007%
,2008,2008,"Lee County, FL",12071,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,74,544217,13.598,10.677,17.07,15.561,12.153,19.628,0.023%
,2008,2008,"Leon County, FL",12073,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,13,178066,Unreliable,3.887,12.484,Unreliable,4.314,14.585,0.004%
,2008,2008,"Manatee County, FL",12081,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,43,281264,15.288,11.064,20.593,18.824,13.508,25.537,0.013%
,2008,2008,"Marion County, FL",12083,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,36,281270,12.799,8.964,17.719,15.795,10.938,22.072,0.011%
,2008,2008,"Martin County, FL",12085,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,21,132757,15.818,9.792,24.18,18.742,11.284,29.268,0.006%
,2008,2008,"Miami-Dade County, FL",12086,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,24,488486,4.913,3.148,7.31,5.039,3.229,7.498,0.007%
,2008,2008,"Miami-Dade County, FL",12086,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,94,1894592,4.961,4.009,6.072,4.85,3.919,5.935,0.029%
,2008,2008,"Monroe County, FL",12087,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,17,66956,Unreliable,14.791,40.652,Unreliable,14.62,41.537,0.005%
,2008,2008,"Nassau County, FL",12089,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,17,65482,Unreliable,15.124,41.567,Unreliable,15.743,44.729,0.005%
,2008,2008,"Okaloosa County, FL",12091,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,15,155111,Unreliable,5.412,15.95,Unreliable,5.124,15.101,0.005%
,2008,2008,"Okeechobee County, FL",12093,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,11,35655,Unreliable,15.401,55.201,Unreliable,16.176,57.979,0.003%
,2008,2008,"Orange County, FL",12095,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,13,247679,Unreliable,2.795,8.975,Unreliable,2.99,9.602,0.004%
,2008,2008,"Orange County, FL",12095,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,85,798463,10.645,8.503,13.163,9.996,7.973,12.375,0.026%
,2008,2008,"Osceola County, FL",12097,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,17,216126,Unreliable,4.582,12.594,Unreliable,4.548,12.499,0.005%
,2008,2008,"Palm Beach County, FL",12099,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,196,1022470,19.169,16.486,21.853,21.984,18.84,25.129,0.060%
,2008,2008,"Pasco County, FL",12101,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,127,426273,29.793,24.611,34.975,33.74,27.769,39.711,0.039%
,2008,2008,"Pinellas County, FL",12103,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,12,98584,Unreliable,6.29,21.263,Unreliable,6.785,22.939,0.004%
,2008,2008,"Pinellas County, FL",12103,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,224,783672,28.583,24.84,32.327,31.327,27.081,35.573,0.069%
,2008,2008,"Polk County, FL",12105,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,66,487653,13.534,10.467,17.219,15.197,11.729,19.37,0.020%
,2008,2008,"St. Lucie County, FL",12111,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,30,212591,14.112,9.521,20.145,15.735,10.538,22.598,0.009%
,2008,2008,"Santa Rosa County, FL",12113,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,20,134949,14.82,9.053,22.889,14.937,9.124,23.069,0.006%
,2008,2008,"Sarasota County, FL",12115,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,70,351554,19.912,15.522,25.157,25.6,19.672,32.753,0.021%
