Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,2008,2008,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,16,8317,Unreliable,109.961,312.409,0.001%
,2008,2008,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,38,7803,486.992,344.625,668.436,0.002%
,2008,2008,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,66,5528,1193.922,923.379,1518.967,0.003%
,2008,2008,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,113,3716,3040.904,2480.218,3601.59,0.005%
,2008,2008,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,104,1795,5793.872,4680.326,6907.418,0.004%
,2008,2008,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,85+ years,85+,90,545,16513.761,13279.046,20298.22,0.004%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,< 1 year,1,16,2321,Unreliable,394.03,1119.476,0.001%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,15-24 years,15-24,18,20581,Unreliable,51.834,138.223,0.001%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,25-34 years,25-34,16,19827,Unreliable,46.126,131.049,0.001%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,43,23573,182.412,132.012,245.707,0.002%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,101,26063,387.523,311.945,463.1,0.004%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,199,23191,858.092,738.868,977.315,0.008%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,284,16576,1713.32,1514.053,1912.588,0.011%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,502,9206,5452.965,4975.945,5929.986,0.020%
,2008,2008,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,85+ years,85+,460,2975,15462.185,14049.166,16875.204,0.019%
,2008,2008,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,21,4070,515.971,319.396,788.718,0.001%
,2008,2008,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,36,3560,1011.236,708.26,1399.975,0.001%
,2008,2008,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,47,2070,2270.531,1668.296,3019.33,0.002%
,2008,2008,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,60,1313,4569.688,3487.174,5882.102,0.002%
,2008,2008,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,85+ years,85+,53,437,12128.146,9084.831,15863.858,0.002%
,2008,2008,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,29,3297,879.588,589.077,1263.237,0.001%
,2008,2008,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,32,2657,1204.366,823.786,1700.203,0.001%
,2008,2008,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,53,1646,3219.927,2411.951,4211.729,0.002%
,2008,2008,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,56,928,6034.483,4558.388,7836.259,0.002%
,2008,2008,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,85+ years,85+,51,268,19029.851,14169.056,25020.828,0.002%
,2008,2008,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,35-44 years,35-44,13,8257,Unreliable,83.832,269.231,0.001%
,2008,2008,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,45-54 years,45-54,55,7998,687.672,518.051,895.101,0.002%
,2008,2008,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,55-64 years,55-64,74,6988,1058.958,831.515,1329.427,0.003%
,2008,2008,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,65-74 years,65-74,104,4900,2122.449,1714.527,2530.371,0.004%
,2008,2008,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,75-84 years,75-84,158,2430,6502.058,5488.197,7515.918,0.006%
,2008,2008,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,85+ years,85+,118,797,14805.521,12134.122,17476.92,0.005%
