Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Gender,Gender Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,% of Total Deaths
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,Female,F,176,22085,796.921,679.183,914.659,852.311,0.002%
,1999,1999,"Autauga County, AL",1001,All other non-drug and non-alcohol causes,O9,Male,M,178,20878,852.572,727.322,977.822,1350.062,0.002%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,Female,F,619,70139,882.533,813.008,952.058,699.33,0.008%
,1999,1999,"Baldwin County, AL",1003,All other non-drug and non-alcohol causes,O9,Male,M,648,67416,961.196,887.188,1035.204,979.382,0.008%
,1999,1999,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,Female,F,136,14034,969.075,806.204,1131.946,726.563,0.002%
,1999,1999,"Barbour County, AL",1005,All other non-drug and non-alcohol causes,O9,Male,M,151,14832,1018.069,855.684,1180.454,1310.169,0.002%
,1999,1999,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,Female,F,105,10000,1050,849.16,1250.84,903.573,0.001%
,1999,1999,"Bibb County, AL",1007,All other non-drug and non-alcohol causes,O9,Male,M,114,10560,1079.545,881.372,1277.718,1355.285,0.001%
,1999,1999,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,Female,F,225,25222,892.078,775.513,1008.643,782.455,0.003%
,1999,1999,"Blount County, AL",1009,All other non-drug and non-alcohol causes,O9,Male,M,223,25015,891.465,774.459,1008.471,1079.977,0.003%
,1999,1999,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,Female,F,68,5650,1203.54,934.597,1525.776,894.98,0.001%
,1999,1999,"Bullock County, AL",1011,All other non-drug and non-alcohol causes,O9,Male,M,75,6105,1228.501,966.29,1539.939,1421.907,0.001%
,1999,1999,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,Female,F,147,11499,1278.372,1071.713,1485.031,839.666,0.002%
,1999,1999,"Butler County, AL",1013,All other non-drug and non-alcohol causes,O9,Male,M,157,10106,1553.533,1310.521,1796.544,1548.741,0.002%
,1999,1999,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,Female,F,650,59865,1085.776,1002.305,1169.248,893.909,0.008%
,1999,1999,"Calhoun County, AL",1015,All other non-drug and non-alcohol causes,O9,Male,M,570,55045,1035.516,950.505,1120.527,1233.13,0.007%
,1999,1999,"Chambers County, AL",1017,All other non-drug and non-alcohol causes,O9,Female,F,231,19253,1199.813,1045.087,1354.539,810.729,0.003%
,1999,1999,"Chambers County, AL",1017,All other non-drug and non-alcohol causes,O9,Male,M,254,17274,1470.418,1289.584,1651.252,1549.363,0.003%
,1999,1999,"Cherokee County, AL",1019,All other non-drug and non-alcohol causes,O9,Female,F,128,12009,1065.867,881.215,1250.519,814.509,0.002%
,1999,1999,"Cherokee County, AL",1019,All other non-drug and non-alcohol causes,O9,Male,M,157,11596,1353.915,1142.129,1565.701,1477.873,0.002%
,1999,1999,"Chilton County, AL",1021,All other non-drug and non-alcohol causes,O9,Female,F,195,19715,989.095,850.267,1127.922,836.486,0.002%
,1999,1999,"Chilton County, AL",1021,All other non-drug and non-alcohol causes,O9,Male,M,213,19147,1112.446,963.048,1261.844,1358.854,0.003%
,1999,1999,"Choctaw County, AL",1023,All other non-drug and non-alcohol causes,O9,Female,F,79,8428,937.352,742.111,1168.221,740.967,0.001%
,1999,1999,"Choctaw County, AL",1023,All other non-drug and non-alcohol causes,O9,Male,M,81,7503,1079.568,857.328,1341.806,1109.582,0.001%
,1999,1999,"Clarke County, AL",1025,All other non-drug and non-alcohol causes,O9,Female,F,143,14699,972.855,813.401,1132.31,792.259,0.002%
,1999,1999,"Clarke County, AL",1025,All other non-drug and non-alcohol causes,O9,Male,M,154,13220,1164.902,980.916,1348.888,1396.792,0.002%
,1999,1999,"Clay County, AL",1027,All other non-drug and non-alcohol causes,O9,Female,F,96,7281,1318.5,1067.985,1610.113,849.13,0.001%
,1999,1999,"Clay County, AL",1027,All other non-drug and non-alcohol causes,O9,Male,M,83,6893,1204.12,959.07,1492.688,1144.042,0.001%
,1999,1999,"Cleburne County, AL",1029,All other non-drug and non-alcohol causes,O9,Female,F,69,7047,979.14,761.83,1239.16,792.129,0.001%
,1999,1999,"Cleburne County, AL",1029,All other non-drug and non-alcohol causes,O9,Male,M,78,6992,1115.561,881.806,1392.275,1216.548,0.001%
,1999,1999,"Coffee County, AL",1031,All other non-drug and non-alcohol causes,O9,Female,F,196,22294,879.16,756.078,1002.243,671.439,0.003%
,1999,1999,"Coffee County, AL",1031,All other non-drug and non-alcohol causes,O9,Male,M,189,21373,884.293,758.22,1010.366,1025.156,0.002%
,1999,1999,"Colbert County, AL",1033,All other non-drug and non-alcohol causes,O9,Female,F,317,28523,1111.384,989.038,1233.73,830.135,0.004%
,1999,1999,"Colbert County, AL",1033,All other non-drug and non-alcohol causes,O9,Male,M,288,26192,1099.572,972.578,1226.567,1148.505,0.004%
,1999,1999,"Conecuh County, AL",1035,All other non-drug and non-alcohol causes,O9,Female,F,108,7455,1448.692,1175.467,1721.917,1071.676,0.001%
,1999,1999,"Conecuh County, AL",1035,All other non-drug and non-alcohol causes,O9,Male,M,96,6703,1432.195,1160.078,1748.953,1464.235,0.001%
,1999,1999,"Coosa County, AL",1037,All other non-drug and non-alcohol causes,O9,Female,F,68,5983,1136.554,882.579,1440.854,925.939,0.001%
,1999,1999,"Coosa County, AL",1037,All other non-drug and non-alcohol causes,O9,Male,M,72,6152,1170.351,915.73,1473.858,1217.24,0.001%
,1999,1999,"Covington County, AL",1039,All other non-drug and non-alcohol causes,O9,Female,F,252,19751,1275.885,1118.353,1433.416,788.886,0.003%
,1999,1999,"Covington County, AL",1039,All other non-drug and non-alcohol causes,O9,Male,M,258,18092,1426.045,1252.033,1600.057,1363.894,0.003%
,1999,1999,"Crenshaw County, AL",1041,All other non-drug and non-alcohol causes,O9,Female,F,89,7169,1241.456,996.989,1527.724,776.153,0.001%
,1999,1999,"Crenshaw County, AL",1041,All other non-drug and non-alcohol causes,O9,Male,M,87,6415,1356.196,1086.259,1672.868,1317.048,0.001%
,1999,1999,"Cullman County, AL",1043,All other non-drug and non-alcohol causes,O9,Female,F,404,39107,1033.063,932.325,1133.801,781.286,0.005%
,1999,1999,"Cullman County, AL",1043,All other non-drug and non-alcohol causes,O9,Male,M,410,37958,1080.141,975.586,1184.696,1205.688,0.005%
,1999,1999,"Dale County, AL",1045,All other non-drug and non-alcohol causes,O9,Female,F,221,24769,892.244,774.607,1009.881,809.244,0.003%
