Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Race,Race Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Pima County, AZ",4019,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,12,747814,Unreliable,0.829,2.803,Unreliable,0.828,2.799,0.022%
,1999,1999,"Orange County, CA",6059,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,17,2322172,Unreliable,0.426,1.172,Unreliable,0.417,1.145,0.031%
,1999,1999,"El Paso County, CO",8041,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,29,447623,6.479,4.339,9.304,6.115,4.095,8.782,0.053%
,1999,1999,"Pueblo County, CO",8101,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,10,132970,Unreliable,3.606,13.83,Unreliable,3.801,14.576,0.018%
,1999,1999,"New Haven County, CT",9009,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,15,696347,Unreliable,1.206,3.553,Unreliable,1.183,3.486,0.027%
,1999,1999,"Brevard County, FL",12009,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,19,420295,Unreliable,2.722,7.06,Unreliable,2.958,7.673,0.035%
,1999,1999,"Marion County, IN",18097,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,12,629234,Unreliable,0.985,3.331,Unreliable,0.978,3.308,0.022%
,1999,1999,"Anne Arundel County, MD",24003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,29,402958,7.197,4.82,10.336,6.712,4.495,9.639,0.053%
,1999,1999,"Baltimore County, MD",24005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Black or African American,2054-5,15,149817,Unreliable,5.604,16.514,Unreliable,5.27,15.529,0.027%
,1999,1999,"Baltimore County, MD",24005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,White,2106-3,73,572448,12.752,9.996,16.034,13.056,10.234,16.416,0.133%
