Notes,Year,Year Code,County,County Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Race,Race Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Jefferson County, AL",1073,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,18,393885,Unreliable,2.708,7.222,Unreliable,2.545,6.787,0.011%
,1999,1999,"Mobile County, AL",1097,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,16,256492,Unreliable,3.566,10.13,Unreliable,3.474,9.869,0.010%
,1999,1999,"Anchorage Borough, AK",2020,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,11,201291,Unreliable,2.728,9.778,Unreliable,2.453,12.57,0.007%
,1999,1999,"Maricopa County, AZ",4013,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,15,126429,Unreliable,6.64,19.568,Unreliable,7.305,22.42,0.009%
,1999,1999,"Maricopa County, AZ",4013,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,195,2733686,7.133,6.132,8.134,7.193,6.176,8.21,0.117%
,1999,1999,"Pima County, AZ",4019,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,89,747814,11.901,9.558,14.646,12.452,10,15.323,0.053%
,1999,1999,"Alameda County, CA",6001,Drug poisonings (overdose) Unintentional (X40-X44),D1,Black or African American,2054-5,30,233300,12.859,8.676,18.357,13.474,9.091,19.235,0.018%
,1999,1999,"Alameda County, CA",6001,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,48,864272,5.554,4.095,7.364,5.153,3.8,6.833,0.029%
,1999,1999,"Butte County, CA",6007,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,11,185134,Unreliable,2.966,10.631,Unreliable,3.358,12.035,0.007%
,1999,1999,"Contra Costa County, CA",6013,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,47,715898,6.565,4.824,8.73,6.408,4.691,8.547,0.028%
,1999,1999,"El Dorado County, CA",6017,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,12,147206,Unreliable,4.212,14.24,Unreliable,4.137,13.987,0.007%
,1999,1999,"Fresno County, CA",6019,Drug poisonings (overdose) Unintentional (X40-X44),D1,White,2106-3,43,653491,6.58,4.762,8.863,7.013,5.076,9.447,0.026%
